id,value
ciências sociais aplicadas
ciências sociais aplicadas.comunicação,1
ciências sociais aplicadas.economia doméstica,1
ciências sociais aplicadas.turismo,1
ciências sociais aplicadas.desenho industrial,1
ciências sociais aplicadas.serviço social,1
ciências sociais aplicadas.museologia,1
ciências sociais aplicadas.arquitetura e urbanismo,1
ciências sociais aplicadas.direito,1
ciências sociais aplicadas.administração,1
ciências sociais aplicadas.economia,1
ciências sociais aplicadas.planejamento urbano e regional,1
ciências sociais aplicadas.demografia,1
ciências sociais aplicadas.ciência da informação,1
ciências sociais aplicadas.ciência da informação.biblioteconomia,1
