id,value
video game
video game.personagens.playable character.ada wong,1
video game.personagens.non playable-character.albert wesker,1
video game.personagens.non playable-character.annette birkin,1
video game.personagens.non playable-character.barry burton,1
video game.personagens.non playable-character.billy coen,1
video game.personagens.non playable-character.brad vickers,1
video game.personagens.non playable-character.brian irons,1
video game.personagens.playable character.chris redfield,1
video game.personagens.playable character.claire redfield,1
video game.personagens.non playable-character.dario rosso,1
video game.personagens.non playable-character.edward dewey,1
video game.personagens.non playable-character.enrico marini,1
video game.personagens.non playable-character.forest speyer,1
video game.personagens.non playable-character.george trevor,1
video game.personagens.non playable-character.james marcus,1
video game.personagens.playable character.jill valentine,1
video game.personagens.non playable-character.joseph frost,1
video game.personagens.non playable-character.kenneth j  sullivan,1
video game.personagens.non playable-character.kevin dooley,1
video game.personagens.playable character.leon scott kennedy,1
video game.personagens.non playable-character.lisa trevor,1
video game.personagens.non playable-character.marvin branagh,1
video game.personagens.non playable-character.mikhail victor,1
video game.personagens.non playable-character.murphy seeker,1
video game.personagens.non playable-character.nicholai ginovaef,1
video game.personagens.non playable-character,1
video game.personagens.non playable-character.ozwell e  spencer,1
video game.personagens.playable character,1
video game.personagens.playable character.rebecca chambers,1
video game.personagens.playable character.carlos oliveira,1
video game.games.resident evil 2,1
video game.games.resident evil remake,1
video game.games.resident evil 3: nemesis,1
video game.personagens.non playable-character.richard aiken,1
video game.personagens.non playable-character.robert kendo,1
video game.personagens.playable character.sherry birkin,1
video game.personagens.non playable-character.tyrell patrick,1
video game.personagens.non playable-character.william birkin,1
video game.personagens,1
video game.organizações,1
video game.games,1
video game.games.resident evil 0,1
video game.games.resident evil,1
video game.organizações.umbrella biohazard countermeasure service,1
video game.organizações.umbrella corporation,1
video game.organizações.united states marine corps,1
video game.organizações.raccoon police department,1
video game.organizações.special tactics and rescue service,1
video game.organizações.the agency,1
